RUN,EXP,TRTNUM,ROTNUM,REPNO,YEAR,DOY,DAS,DAP,L#SD,GSTD,LAID,LWAD,SWAD,GWAD,RWAD,VWAD,CWAD,G#AD,GWGD,HIAD,PWAD,P#AD,WSPD,WSGD,NSTD,EWSD,PST1A,PST2A,KSTD,LN%D,SH%D,HIPD,PWDD,PWTD,SLAD,CHTD,CWID,RDPD,CDAD,LDAD,SDAD,SNW0C,SNW1C,DTTD,RL1D,RL2D,RL3D,RL4D,RL5D,RL6D,RL7D,RL8D,RL9D,RL10D
1,FLSC8101,1,0,1,1988,97,8,0,.000000,0,.000000,0,0,0,0,0,0,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,0,0,.000000,.000000,.000000,.4000000E-01,0,0,0,0,0,4.006954,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,98,9,1,.000000,0,.000000,0,0,0,0,0,0,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,0,0,.000000,.000000,.000000,.5290871E-01,0,0,0,0,0,8.605812,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,99,10,2,.000000,0,.000000,0,0,0,0,0,0,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,0,0,.000000,.000000,.000000,.6951191E-01,0,0,0,0,0,11.06879,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,100,11,3,.000000,0,.000000,0,0,0,0,0,0,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,0,0,.000000,.000000,.000000,.8053075E-01,0,0,0,0,0,7.345890,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,101,12,4,.000000,0,.000000,0,0,0,0,0,0,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,0,0,.000000,.000000,.000000,.8172163E-01,0,0,0,0,0,.7939215,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,102,13,5,.000000,0,.000000,0,0,0,0,0,0,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,0,0,.000000,.000000,.000000,.8589422E-01,0,0,0,0,0,2.781728,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,103,14,6,.000000,0,.000000,0,0,0,0,0,0,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,0,0,.000000,.000000,.000000,.9346773E-01,0,0,0,0,0,5.049006,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,104,15,7,.000000,0,.000000,0,0,0,0,0,0,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,0,0,.000000,.000000,.000000,.1018488,0,0,0,0,0,5.587395,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,105,16,8,.000000,0,.000000,0,0,0,0,0,0,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,0,0,.000000,.000000,.000000,.1099050,0,0,0,0,0,5.370797,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,106,17,9,.000000,0,.000000,0,0,0,0,0,0,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,0,0,.000000,.000000,.000000,.1120539,0,0,0,0,0,1.432623,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,107,18,10,.000000,0,.000000,0,0,0,0,0,0,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,0,0,.000000,.000000,.000000,.1184081,0,0,0,0,0,4.236115,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,108,19,11,.000000,0,.000000,0,0,0,0,0,0,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,0,0,.000000,.000000,.000000,.1281192,0,0,0,0,0,6.474035,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,109,20,12,.000000,0,.000000,0,0,0,0,0,0,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,0,0,.000000,.000000,.000000,.1302979,0,0,0,0,0,1.452494,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,110,21,13,.000000,0,.000000,0,0,0,0,0,0,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,0,0,.000000,.000000,.000000,.1339304,0,0,0,0,0,2.421673,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,111,22,14,.000000,0,.000000,0,0,0,0,0,0,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,0,0,.000000,.000000,.000000,.1383937,0,0,0,0,0,2.975492,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,112,23,15,.000000,0,.000000,0,0,0,0,0,0,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,0,0,.000000,.000000,.000000,.1411833,0,0,0,0,0,1.859783,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,113,24,16,.000000,0,.000000,0,0,0,0,0,0,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,0,0,.000000,.000000,.000000,.1411833,0,0,0,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,114,25,17,.000000,0,.000000,0,0,0,0,0,0,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,0,0,.000000,.000000,.000000,.1411833,0,0,0,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,115,26,18,.000000,0,.000000,0,0,0,0,0,0,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,0,0,.000000,.000000,.000000,.1462744,0,0,0,0,0,3.394037,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,116,27,19,.000000,0,.000000,0,0,0,0,0,0,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,0,0,.000000,.000000,.000000,.1553125,0,0,0,0,0,6.025410,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,117,28,20,1.000000,1,.9780114E-03,14,14,0,14,28,28,0,.000000,.000000,0,0,.000000,.000000,.1219106E-01,.000000,.000000,.000000,.000000,4.400000,.000000,.000000,0,0,6.887404,.4669176E-03,.000000,.1576624,0,0,0,0,0,2.562400,.2820000,.1410000,.3000000E-01,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,118,29,21,1.000000,1,.9052860E-03,14,14,0,14,28,28,0,.000000,.000000,0,0,.000000,.000000,.1910686E-01,.000000,.000000,.000000,.000000,4.400000,.000000,.000000,0,0,6.375254,.4669176E-03,.000000,.1587985,0,0,0,0,0,1.238863,.2810000,.1400000,.2900000E-01,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,119,30,22,1.000000,1,.1395423E-02,14,14,0,14,28,28,0,.000000,.000000,0,0,.000000,.000000,.1681793E-01,.000000,.000000,.000000,.000000,4.400000,.000000,.000000,0,0,9.826922,.6661963E-03,.000000,.1627401,0,0,0,0,0,4.298116,.2800000,.1400000,.2900000E-01,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,120,31,23,2.000000,1,.2629544E-02,14,14,0,14,28,28,0,.000000,.000000,0,0,.000000,.000000,.1314414E-01,.000000,.000000,.000000,.000000,4.400000,.000000,.000000,0,0,18.51791,.1255384E-02,.000000,.1690308,0,0,0,0,0,6.859561,.2810000,.1410000,.2900000E-01,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,121,32,24,2.000000,1,.4803243E-02,14,14,0,15,28,28,0,.000000,.000000,0,0,.000000,.000000,.8184075E-02,.000000,.000000,.000000,.000000,4.400000,.000000,.000000,0,0,33.82566,.2293142E-02,.000000,.1774562,0,0,0,0,0,9.187492,.2830000,.1440000,.3000000E-01,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,122,33,25,2.000000,1,.7574196E-02,14,14,0,15,28,28,0,.000000,.000000,0,0,.000000,.000000,.2480626E-02,.000000,.000000,.000000,.000000,4.400000,.000000,.000000,0,0,53.33941,.3616037E-02,.000000,.1870510,0,0,0,0,0,10.46245,.2890000,.1500000,.3300000E-01,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,123,34,26,3.000000,1,.1118382E-01,14,14,0,16,28,28,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,4.400000,.000000,.000000,0,0,78.75928,.5339325E-02,.000000,.1982810,0,0,0,0,0,12.24572,.3000000,.1610000,.4000000E-01,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,124,35,27,3.000000,1,.1452700E-01,14,14,0,17,28,28,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,4.400000,.000000,.000000,0,0,102.3028,.6935413E-02,.000000,.2080031,0,0,0,0,0,10.60131,.3110000,.1720000,.4800000E-01,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,125,36,28,3.000000,1,.1715796E-01,14,14,0,19,28,28,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,4.400000,.000000,.000000,0,0,120.8307,.8191470E-02,.000000,.2137161,0,0,0,0,0,8.087585,.3290000,.1900000,.5900000E-01,.000000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,126,37,29,4.000000,1,.3206546E-01,14,14,0,22,28,28,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,4.400000,.000000,.000000,0,0,225.8131,.1530854E-01,.000000,.2232088,0,0,0,0,0,13.43803,.3520000,.2170000,.7600001E-01,.2000000E-02,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,127,38,30,4.000000,1,.4743626E-01,14,14,0,26,28,28,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,4.400000,.000000,.000000,0,0,334.0581,.2264679E-01,.000000,.2317764,0,0,0,0,0,12.12869,.3780000,.2620000,.1030000,.7000000E-02,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,128,39,31,4.000000,1,.7166923E-01,23,14,0,27,37,37,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,3.347702,.000000,.000000,0,0,309.8929,.3421599E-01,.000000,.2431897,0,0,0,0,0,16.15690,.3880000,.2720000,.1090000,.8000000E-02,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,129,40,32,5.000000,1,.9196190E-01,31,14,0,27,46,46,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,3.314475,.000000,.000000,0,0,291.9991,.4390402E-01,.000000,.2518910,0,0,0,0,0,12.31779,.3930000,.2780000,.1140000,.9000001E-02,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,130,41,33,5.000000,1,.1065923,38,14,0,33,52,52,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,3.528072,.000000,.000000,0,0,281.1694,.5088882E-01,.000000,.2578801,0,0,0,0,0,8.478479,.4350000,.3290000,.1560000,.2000000E-01,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,131,42,34,5.000000,1,.1259785,47,14,0,43,61,61,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,3.403044,.000000,.000000,0,0,269.3716,.6014407E-01,.000000,.2652087,0,0,0,0,0,10.37456,.5290000,.4270000,.2350000,.4500000E-01,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,132,43,35,6.000000,1,.1528958,60,14,0,53,74,74,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,3.243289,.000000,.000000,0,0,256.2842,.7299478E-01,.000000,.2744761,0,0,0,0,1,13.11910,.6160001,.5100001,.3000000,.6900001E-01,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,133,44,36,6.000000,2,.1917615,73,14,0,68,87,87,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,3.279459,.000000,.000000,0,0,262.6594,.9154987E-01,.000000,.2848099,0,0,0,0,1,14.62891,.7580000,.6420000,.4000000,.1110000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,134,45,37,6.000000,2,.2304379,92,14,0,87,106,106,0,.000000,.000000,0,0,.000000,.000000,.3374815E-02,.000000,.000000,.000000,.000000,3.197149,.000000,.000000,0,0,250.5022,.1100146,.000000,.2941951,0,0,0,0,1,13.28594,.9310001,.8030000,.5210000,.1680000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,135,46,38,7.000000,2,.2874683,122,14,0,101,136,136,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,3.006554,.000000,.000000,0,0,236.5773,.1372418,.000000,.3063336,0,0,0,0,2,17.18368,1.065000,.9270000,.6140000,.2180000,.000000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,136,47,39,7.000000,2,.3504201,156,14,0,125,170,170,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,3.025596,.000000,.000000,0,0,224.7240,.1672959,.000000,.3260272,0,0,0,0,2,16.93699,1.270000,1.123000,.7600001,.2920000,.1200000E-01,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,137,48,40,8.000000,2,.3969901,182,14,0,161,197,197,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,3.907059,.000000,.000000,0,0,217.5372,.1895292,.000000,.3395620,0,0,0,0,3,11.64030,1.501000,1.447000,.9990001,.4130000,.4200000E-01,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,138,49,41,8.000000,2,.4145265,203,14,0,206,217,217,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,3.820874,.000000,.000000,0,0,203.9120,.1979013,.000000,.3493510,0,0,0,0,4,8.418810,1.690000,1.867000,1.305000,.5690000,.9000000E-01,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,139,50,42,8.000000,2,.4734481,238,14,0,237,252,252,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,3.810228,.000000,.000000,0,0,199.2589,.2260313,.000000,.3639246,0,0,0,0,5,12.53364,1.754000,2.174000,1.527000,.6830000,.1360000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,140,51,43,8.000000,3,.5388238,279,14,0,266,294,294,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,3.731975,.000000,.000000,0,0,192.9774,.2572427,.000000,.3798401,0,0,0,0,6,13.68779,1.753000,2.470000,1.740000,.7920001,.1920000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,141,52,44,9.000000,3,.6254973,334,15,0,307,348,348,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,3.677592,.000000,.000000,0,0,187.5279,.2986220,.000000,.3982692,0,0,0,0,7,15.84953,1.744000,2.879000,2.032000,.9420000,.2870000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,142,53,45,9.000000,3,.7102004,388,16,0,327,405,405,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,3.608045,.000000,.000000,0,0,182.8424,.3390605,.000000,.4149001,0,0,0,0,9,14.30302,1.867000,3.041000,2.180000,1.004000,.3320000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,143,54,46,10.00000,3,.7670228,426,18,0,328,444,444,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,3.516688,.000000,.000000,0,0,179.9939,.3661884,.000000,.4256759,0,0,0,0,10,13.22414,1.866000,3.043000,2.184000,1.007000,.3340000,.000000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,144,55,47,10.00000,3,.8557900,486,21,0,348,508,508,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,3.502458,.000000,.000000,0,0,175.9414,.4085672,.000000,.4363310,0,0,0,0,12,13.07597,1.952000,3.192000,2.322000,1.086000,.3780000,.5000000E-02,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,145,56,48,10.00000,3,.9483861,551,27,0,416,577,577,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,3.453074,.000000,.000000,0,0,172.1496,.4527740,.000000,.4467655,0,0,0,0,14,12.80525,2.327000,3.689000,2.770000,1.342000,.5260000,.3100000E-01,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,146,57,49,10.00000,3,1.030933,610,33,0,499,643,643,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,3.398530,.000000,.000000,0,0,169.0833,.4921832,.000000,.4555856,0,0,0,0,16,10.82408,2.873000,4.000000,3.283000,1.636000,.6980000,.6700000E-01,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,147,58,50,11.00000,3,1.144308,692,44,0,552,737,737,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,3.372373,.000000,.000000,0,0,165.2743,.5463099,.000000,.4669682,0,0,0,0,18,13.96875,3.257000,4.000000,3.609000,1.823000,.8070000,.9500000E-01,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,148,59,51,11.00000,3,1.264855,782,60,0,594,843,843,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,3.323606,.000000,.000000,0,0,161.6499,.6038612,.000000,.4783356,0,0,0,0,21,13.95000,3.558000,4.000000,3.862000,1.969000,.8920000,.1210000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,149,60,52,12.00000,3,1.434811,913,90,0,645,1003,1003,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,3.297450,.000000,.000000,0,0,157.1410,.6850005,.000000,.4912919,0,0,0,0,24,15.90000,3.922000,4.000000,4.000000,2.145000,.9950000,.1570000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,150,61,53,12.00000,3,1.596036,1041,126,0,687,1167,1167,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,3.231892,.000000,.000000,0,0,153.3854,.7619719,.000000,.5035555,0,0,0,0,27,15.05000,4.000000,4.000000,4.000000,2.289000,1.079000,.1910000,.000000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,151,62,54,12.00000,3,1.766464,1179,173,0,742,1352,1352,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,3.178155,.000000,.000000,0,0,149.8571,.8433371,.000000,.5151963,0,0,0,0,31,15.90000,4.000000,4.000000,4.000000,2.477000,1.189000,.2350000,.5000000E-02,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,152,63,55,13.00000,3,1.931213,1316,229,0,792,1545,1545,0,.000000,.000000,0,0,.000000,.000000,.000000,.1054085E-04,.000000,.000000,.000000,3.119484,.000000,.000000,0,0,146.7989,.9219905,.000000,.5264343,0,0,0,0,34,15.35000,4.000000,4.000000,4.000000,2.653000,1.291000,.2760000,.1400000E-01,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,153,64,56,13.00000,3,2.105143,1463,300,0,823,1763,1763,0,.000000,.000000,0,0,.000000,.000000,.000000,.3273062E-05,.000000,.000000,.000000,3.068233,.000000,.000000,0,0,143.8813,1.005028,.000000,.5382947,0,0,0,0,38,16.20000,4.000000,4.000000,4.000000,2.772000,1.356000,.3020000,.2200000E-01,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,154,65,57,14.00000,3,2.270127,1606,380,0,836,1986,1986,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,3.012151,.000000,.000000,0,0,141.3621,1.083793,.000000,.5495327,0,0,0,0,42,15.35000,4.000000,4.000000,4.000000,2.821000,1.383000,.3130000,.2700000E-01,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,155,66,58,14.00000,3,2.426105,1743,468,0,885,2211,2211,0,.000000,.000000,0,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,2.960757,.000000,.000000,0,0,139.1699,1.158260,.000000,.5601485,0,0,0,0,47,14.50000,4.000000,4.000000,4.000000,3.001000,1.481000,.3520000,.4700000E-01,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,156,67,59,14.00000,3,2.549422,1853,541,0,963,2394,2399,0,.000000,.000000,5,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,2.915281,.000000,.1924146E-02,0,5,137.5509,1.217133,.000000,.5685312,0,0,0,0,51,11.45000,4.000000,4.000000,4.000000,3.278000,1.630000,.4120000,.8200000E-01,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,157,68,60,15.00000,3,2.672758,1965,620,0,1061,2585,2596,0,.000000,.000000,11,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,2.881946,.000000,.4336980E-02,0,11,136.0214,1.276015,.000000,.5769140,0,0,0,0,56,11.45000,4.000000,4.000000,4.000000,3.625000,1.817000,.4870000,.1320000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,158,69,61,15.00000,3,2.938627,2210,743,0,1077,2953,2969,0,.000000,.000000,16,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,2.876017,.000000,.5492940E-02,0,16,132.9911,1.402946,.000000,.5865414,0,0,0,0,61,13.15000,4.000000,4.000000,4.000000,3.679000,1.846000,.5000000,.1420000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,159,70,62,15.00000,3,3.103484,2364,913,0,1090,3277,3301,0,.000000,.000000,24,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,2.818625,.000000,.7205334E-02,0,24,131.2712,1.481651,.000000,.5971571,0,0,0,0,67,14.50000,4.000000,4.000000,4.000000,3.733000,1.873000,.5120000,.1530000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,160,71,63,16.00000,3,3.242193,2496,1111,0,1103,3607,3641,0,.000000,.000000,34,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,2.766758,.000000,.9424730E-02,0,34,129.9064,1.547873,.000000,.6097862,0,0,0,0,72,17.25000,4.000000,4.000000,4.000000,3.792000,1.902000,.5240000,.1660000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,161,72,64,16.00000,3,3.357260,2606,1288,0,1171,3894,3951,0,.000000,.000000,57,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,2.731675,.000000,.1433576E-01,0,57,128.8261,1.600000,.000000,.6130254,0,0,0,0,78,11.75000,4.000000,4.000000,4.000000,4.000000,2.071000,.5770000,.2130000,.000000,.000000,.000000
1,FLSC8101,1,0,1,1988,162,73,65,16.00000,3,3.444527,2690,1428,0,1265,4118,4201,0,.000000,.000000,83,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,2.694018,.000000,.1977049E-01,0,83,128.0360,1.600000,.000000,.6157271,0,0,0,0,83,9.799999,4.000000,4.000000,4.000000,4.000000,2.300000,.6490000,.2760000,.1000000E-02,.000000,.000000
1,FLSC8101,1,0,1,1988,163,74,66,17.00000,3,3.535326,2778,1584,0,1347,4363,4479,0,.000000,.000000,116,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,2.668277,.000000,.2585994E-01,0,116,127.2389,1.600000,.000000,.6188009,0,0,0,0,90,11.15000,4.000000,4.000000,4.000000,4.000000,2.498000,.7110000,.3310000,.2000000E-02,.000000,.000000
1,FLSC8101,1,0,1,1988,164,75,67,17.00000,3,3.644266,2885,1795,0,1375,4680,4836,0,.000000,.000000,156,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,2.639489,.000000,.3223754E-01,0,156,126.3143,1.600000,.000000,.6228672,0,0,0,0,96,14.75000,4.000000,4.000000,4.000000,4.000000,2.567000,.7330000,.3510000,.2000000E-02,.000000,.000000
1,FLSC8101,1,0,1,1988,165,76,68,17.00000,3,3.739088,2978,1993,0,1386,4972,5167,0,.000000,.000000,196,0,.000000,.000000,.000000,.000000,.000000,.000000,.000000,2.589252,.000000,.3788350E-01,0,196,125.5362,1.600000,.000000,.6273195,0,0,0,0,103,16.15000,4.000000,4.000000,4.000000,4.000000,2.598000,.7430000,.3610000,.2000000E-02,.000000,.000000
